Game ID,SteamDB score
537100,77.62%
537110,89.95%
537130,65.51%
537140,80.14%
537170,-1
537180,67.52%
537200,56.94%
536630,45.04%
536640,46.75%
536660,50.00%
536670,55.69%
536680,48.66%
536690,64.44%
536750,68.13%
536770,-1
536780,75.24%
536800,40.03%
536890,77.83%
536210,65.17%
536220,76.96%
536230,68.15%
536270,76.02%
536280,49.05%
536320,43.41%
536410,58.30%
536420,56.14%
536430,71.70%
536450,66.84%
536460,-1
536490,67.39%
536510,39.66%
536530,56.00%
535890,71.94%
535910,80.30%
535980,75.24%
536040,63.61%
536050,-1
535520,76.37%
535530,50.00%
535650,75.64%
535680,-1
535690,69.77%
535700,57.34%
535750,60.54%
535760,56.91%
535840,72.42%
535850,31.23%
535150,70.16%
535170,54.30%
535190,77.00%
535240,-1
535260,55.52%
535270,52.39%
535280,75.88%
535330,78.75%
535350,53.32%
535370,44.31%
535380,73.27%
535410,70.81%
535440,38.62%
535460,74.90%
535490,53.78%
534660,-1
534680,76.58%
534720,77.90%
534740,45.83%
534750,66.66%
534780,82.17%
534820,53.60%
534870,67.20%
534880,72.42%
534910,56.60%
534920,52.78%
534980,63.21%
535000,79.58%
535010,53.32%
534350,47.61%
534360,57.12%
534370,68.82%
534430,57.39%
534440,70.08%
534460,56.44%
534480,40.79%
534550,87.25%
534560,66.62%
534570,57.12%
533800,-1
533820,67.61%
533850,71.03%
533860,44.71%
533890,57.21%
533920,40.40%
533950,78.84%
533960,-1
533970,79.78%
534000,78.29%
534010,65.96%
534190,75.37%
534200,66.94%
534210,42.82%
534220,64.04%
534230,73.11%
534240,-1
534270,64.78%
534290,80.38%
534320,48.29%
533470,47.22%
533480,66.73%
533540,76.96%
533580,80.02%
533630,-1
533660,44.86%
533690,69.90%
533700,-1
533740,-1
533770,57.18%
533780,79.49%
533010,68.13%
533030,37.49%
533040,65.42%
533050,73.75%
533060,66.76%
533070,-1
533080,57.39%
533090,57.39%
533170,44.82%
533180,34.74%
533260,63.88%
533280,-1
533300,91.22%
533330,52.60%
533340,47.45%
533360,56.05%
532600,50.57%
532660,48.90%
532670,37.90%
532690,59.40%
532700,61.11%
532740,50.00%
532750,79.60%
532770,72.87%
532800,55.90%
532840,76.04%
532890,55.86%
532900,-1
532920,63.22%
532950,33.67%
532980,-1
532470,72.21%
531860,46.82%
531890,67.78%
531910,78.55%
531920,46.41%
531930,73.28%
531960,72.80%
531980,61.60%
531990,78.75%
532030,48.67%
532070,-1
532080,52.11%
532090,70.75%
532110,91.60%
532120,72.22%
532170,78.03%
532190,87.09%
532230,-1
532260,43.17%
532270,76.59%
532290,69.31%
532320,81.27%
531480,71.52%
531510,94.96%
531520,37.90%
531530,78.51%
531540,72.06%
531630,65.67%
531660,74.35%
531680,76.22%
531730,86.74%
531740,68.68%
531780,63.75%
531050,65.95%
531070,39.05%
531080,62.10%
531110,70.99%
531140,68.18%
531180,75.88%
531190,79.42%
531200,58.83%
531240,52.70%
531270,64.05%
530620,84.97%
530630,65.62%
530650,63.89%
530700,49.91%
530720,58.09%
530820,54.84%
530830,67.05%
530860,58.75%
530890,83.15%
530920,72.82%
530930,50.88%
530960,60.26%
530470,-1
530500,63.89%
530510,74.80%
530520,44.88%
530530,50.00%
530540,56.15%
530550,72.22%
530560,42.71%
530120,88.40%
530130,68.10%
530160,62.13%
530240,55.21%
530290,63.21%
530300,66.62%
530320,91.63%
530340,-1
530350,86.52%
530360,78.75%
530370,82.82%
530390,89.19%
529610,-1
529630,53.59%
529640,-1
529660,83.06%
529670,77.87%
529700,78.12%
529720,61.90%
529730,53.32%
529760,34.11%
529770,74.78%
529780,88.15%
529790,68.00%
529820,50.00%
529830,61.19%
529840,65.97%
529860,56.05%
529870,73.16%
529890,74.22%
529900,80.08%
529910,52.47%
529920,57.21%
529940,53.32%
529950,80.83%
529970,72.10%
530010,62.51%
530020,72.95%
530040,53.31%
530070,75.38%
530080,37.49%
530110,59.10%
529130,62.48%
529140,-1
529150,89.67%
529160,81.56%
529180,54.78%
529240,46.73%
529260,50.00%
529280,50.00%
529360,70.25%
529410,70.48%
529420,50.00%
529440,81.82%
529450,65.46%
529490,71.91%
529500,59.46%
529520,88.38%
529540,73.89%
529580,65.93%
529590,79.66%
528720,74.12%
528730,63.76%
528740,53.78%
528770,74.53%
528790,-1
528820,53.48%
528860,73.89%
528900,47.61%
528910,42.61%
528930,40.40%
528940,-1
528950,71.52%
528960,71.48%
528970,57.73%
528980,67.20%
528990,74.51%
529020,77.99%
529040,65.42%
529060,41.24%
529070,-1
529090,55.69%
529100,80.48%
529110,77.70%
528420,-1
528430,69.72%
528450,57.36%
528460,67.48%
528510,64.08%
528580,78.32%
528610,59.25%
528640,53.00%
528660,74.08%
528670,59.43%
528070,60.85%
528110,70.48%
528120,81.57%
528160,69.84%
528190,50.00%
528260,71.74%
528270,77.06%
528300,70.07%
527760,50.29%
527770,47.30%
527790,40.72%
527800,50.00%
527810,52.59%
527820,79.04%
527880,54.48%
527890,62.51%
527900,59.80%
527910,69.44%
527920,72.42%
527930,40.40%
527940,-1
527950,53.59%
527960,64.78%
527990,68.22%
528010,55.80%
528020,68.15%
528060,86.34%
527420,80.35%
527450,75.72%
527470,75.08%
527510,39.02%
527520,31.85%
527560,-1
527580,68.75%
527700,81.58%
527710,73.83%
527720,75.62%
527730,46.25%
527740,73.66%
527750,42.90%
527040,-1
527100,76.06%
527110,65.42%
527150,80.50%
527160,59.43%
527190,86.27%
527210,57.73%
527240,53.10%
527250,70.75%
527260,69.44%
527270,84.50%
527280,67.03%
527290,78.71%
527300,-1
527310,66.98%
527320,73.45%
527330,38.04%
527350,59.06%
527360,-1
527380,66.57%
526590,54.02%
526720,-1
526730,67.30%
526740,60.08%
526750,37.87%
526780,-1
526800,79.14%
526880,47.63%
526890,-1
526920,64.38%
526960,-1
526980,57.79%
526240,72.05%
526290,59.91%
526310,65.38%
526370,71.72%
526400,73.25%
526430,66.18%
526440,62.51%
526450,-1
526470,50.00%
526490,87.92%
526510,72.28%
526540,63.24%
526550,50.00%
526090,50.00%
526130,76.65%
526140,79.28%
526160,70.91%
525860,-1
525870,50.00%
525910,80.07%
525920,68.26%
525950,66.76%
525450,79.73%
525480,83.20%
525500,70.19%
525510,89.49%
525530,48.11%
525540,61.11%
525590,-1
525600,42.04%
525610,53.96%
525620,82.60%
525640,83.28%
525660,40.03%
525680,84.17%
525690,78.73%
525700,58.35%
525740,75.41%
525760,65.42%
525780,80.28%
525100,55.27%
525150,74.59%
525190,44.45%
525210,68.83%
525300,52.81%
525330,54.17%
525350,47.41%
525360,75.51%
525370,70.40%
525380,65.16%
525420,54.07%
524850,82.89%
524910,88.26%
524940,58.97%
524970,51.25%
525040,83.77%
525050,-1
525070,62.98%
524350,-1
524380,45.50%
524390,59.68%
524430,62.98%
524490,73.27%
524520,70.67%
524540,73.56%
524560,74.61%
524580,81.43%
524600,70.48%
524610,-1
524650,64.76%
524690,79.04%
523890,-1
523900,71.55%
523940,48.66%
523960,66.09%
523970,73.19%
524010,62.43%
524030,60.06%
524050,75.10%
524060,57.96%
524120,74.80%
524200,59.00%
524220,84.43%
524240,60.28%
524250,79.66%
523550,62.10%
523570,62.51%
523600,75.66%
523610,45.70%
523640,40.03%
523650,66.97%
523680,65.65%
523710,67.82%
523720,-1
523730,64.37%
523750,56.44%
523760,70.81%
523770,-1
523780,89.89%
523810,67.81%
523860,-1
523870,75.12%
523880,59.60%
523410,60.54%
